Text,Sentiment,Platform,Country,Clean_Text,Sentiment_Category,Sentiment_Label
 Learning a new language for personal growth.       ,Positive, Facebook , India     ,learning new language personal growth,Positive,2
 Quiet evening with a good book.                    ,Positive, Instagram , Australia ,quiet evening good book,Positive,2
 Reflecting on the importance of mental health.     ,Positive, Twitter  , USA      ,reflecting importance mental health,Positive,2
 New painting in progress! 🎨                       ,Positive, Facebook , Canada ,new painting progress,Positive,2
 Weekend road trip to explore scenic views.         ,Positive, Instagram , UK        ,weekend road trip explore scenic view,Positive,2
 Enjoying a cup of tea and watching the sunset.     ,Positive, Twitter  , India    ,enjoying cup tea watching sunset,Positive,2
 Coding a new project with enthusiasm.              ,Positive, Facebook , USA ,coding new project enthusiasm,Positive,2
 Feeling inspired after attending a workshop.       ,Positive, Instagram ,USA,feeling inspired attending workshop,Positive,2
 Winter sports day at the local park.               ,Positive, Twitter  , Canada   ,winter sport day local park,Positive,2
 Quality time with family this weekend.             ,Positive, Facebook , UK        ,quality time family weekend,Positive,2
 Attending a live music concert tonight.            ,Positive, Instagram , USA ,attending live music concert tonight,Positive,2
 Practicing mindfulness with meditation.            ,Positive, Twitter  , India    ,practicing mindfulness meditation,Positive,2
 Trying out a new dessert recipe.                   ,Positive, Facebook , Canada ,trying new dessert recipe,Positive,2
 Excited about the upcoming gaming tournament.      ,Positive, Instagram ,USA,excited upcoming gaming tournament,Positive,2
 Planning a garden makeover for spring.             ,Positive, Twitter  , USA      ,planning garden makeover spring,Positive,2
 Celebrating a friend's birthday tonight! 🎂       ,Positive, Facebook , UK ,celebrating friend birthday tonight,Positive,2
 Feeling accomplished after a productive day.       ,Positive, Instagram , India ,feeling accomplished productive day,Positive,2
 A cozy evening with a good movie.                 ,Positive, Twitter  , Canada   ,cozy evening good movie,Positive,2
 Exploring local art galleries this weekend.        ,Positive, Facebook , USA      ,exploring local art gallery weekend,Positive,2
 New book release from my favorite author!          ,Positive, Instagram , UK   ,new book release favorite author,Positive,2
 Attending a virtual reality meetup.                ,Positive, Twitter  , India    ,attending virtual reality meetup,Positive,2
 Reflecting on the beauty of nature.                ,Positive, Facebook , Australia ,reflecting beauty nature,Positive,2
 Cooking a special dinner for loved ones.           ,Positive, Instagram , USA       ,cooking special dinner loved one,Positive,2
 Feeling optimistic about the week ahead.           ,Positive, Twitter  , Canada   ,feeling optimistic week ahead,Positive,2
 Starting a new fitness challenge tomorrow! 💪     ,Positive, Facebook , UK         ,starting new fitness challenge tomorrow,Positive,2
 Sunday bike ride through scenic trails.           ,Positive, Instagram , USA     ,sunday bike ride scenic trail,Positive,2
 Can't believe the injustice happening in our society.,Anger, Twitter  , Canada     ,cant believe injustice happening society,Negative,0
 Feeling a sense of fear after watching a thriller movie. ,Fear, Instagram , USA          ,feeling sense fear watching thriller movie,Negative,0
 Heartbroken after hearing the news about a natural disaster. ,Sadness, Facebook , India      ,heartbroken hearing news natural disaster,Negative,0
 The state of the world's environment is just disgusting. ,Disgust, Twitter  , UK         ,state world environment disgusting,Negative,0
 Pure happiness: celebrating a loved one's achievement! ,Happiness, Instagram , USA ,pure happiness celebrating loved one achievement,Positive,2
 Laughter is the best medicine—enjoying a comedy show. ,Joy, Facebook , Canada    ,laughter best medicineenjoying comedy show,Positive,2
 Sharing love and positive vibes with everyone! ❤️      ,Love, Twitter  , Australia  ,sharing love positive vibe everyone,Positive,2
 An amusing incident brightened up my day!               ,Amusement, Instagram , UK           ,amusing incident brightened day,Positive,2
 Enjoying a quiet evening with a book and some tea.      ,Enjoyment, Facebook , Canada       ,enjoying quiet evening book tea,Positive,2
 Admiring the beauty of nature during a peaceful hike.   ,Admiration, Twitter  , USA       ,admiring beauty nature peaceful hike,Positive,2
 Sending affectionate vibes to all my followers!          ,Affection, Instagram ,USA,sending affectionate vibe follower,Positive,2
 Experiencing awe at the breathtaking sunset.            ,Awe, Facebook , Australia   ,experiencing awe breathtaking sunset,Positive,2
 Disappointed with the service at a local restaurant.    ,Disappointed, Twitter  , India      ,disappointed service local restaurant,Negative,0
 A surprise gift from a friend made my day!              ,Surprise, Instagram , USA          ,surprise gift friend made day,Positive,2
 Finding acceptance in the midst of life's challenges.   ,Acceptance, Facebook , Canada     ,finding acceptance midst life challenge,Neutral,1
 Overflowing with adoration for my adorable pet! 🐾      ,Adoration, Twitter  , UK        ,overflowing adoration adorable pet,Neutral,1
 Anticipating a thrilling adventure in the coming weeks. ,Anticipation, Instagram ,USA,anticipating thrilling adventure coming week,Positive,2
 A bitter experience turned into a valuable lesson.      ,Bitter, Facebook , USA       ,bitter experience turned valuable lesson,Neutral,1
 Finding calmness in the midst of a busy day.            ,Calmness, Twitter  , India     ,finding calmness midst busy day,Positive,2
 Confusion clouds my mind as I navigate through decisions.,Confusion, Instagram , UK   ,confusion cloud mind navigate decision,Neutral,1
 Excitement building up for the upcoming vacation!       ,Excitement, Facebook , Canada    ,excitement building upcoming vacation,Positive,2
 Kindness witnessed today restored my faith in humanity. ,Kind, Twitter  , USA       ,kindness witnessed today restored faith humanity,Neutral,1
 Pride in achieving a personal milestone.               ,Pride, Instagram , Australia    ,pride achieving personal milestone,Positive,2
 A moment of shame for not standing up against injustice. ,Shame, Facebook , India      ,moment shame standing injustice,Neutral,1
 Fuming with anger after a heated argument.            ,Anger, Twitter  , Canada     ,fuming anger heated argument,Negative,0
 The fear of the unknown is keeping me up at night.    ,Fear, Instagram , USA          ,fear unknown keeping night,Negative,0
 Heartfelt sadness after bidding farewell to a dear friend. ,Sadness, Facebook , India      ,heartfelt sadness bidding farewell dear friend,Negative,0
 The state of corruption in our society is utterly disgusting. ,Disgust, Twitter  , UK         ,state corruption society utterly disgusting,Negative,0
 Overflowing happiness: welcoming a new family member!  ,Happiness, Instagram , UK           ,overflowing happiness welcoming new family member,Positive,2
 Laughter is the key to joy—attending a stand-up comedy show. ,Joy, Facebook , Canada    ,laughter key joyattending standup comedy show,Positive,2
 Sending love to all my followers on this beautiful day! ❤️ ,Love, Twitter  , Australia  ,sending love follower beautiful day,Positive,2
 Amused by the antics of my pet—it's pure amusement!      ,Amusement, Instagram , UK           ,amused antic petits pure amusement,Positive,2
 Enjoying every moment of this trip—pure enjoyment!      ,Enjoyment, Facebook , USA ,enjoying every moment trippure enjoyment,Positive,2
 Admiring the dedication of volunteers at a local charity. ,Admiration, Twitter  , USA        ,admiring dedication volunteer local charity,Positive,2
 Sending affectionate vibes to friends and family.        ,Affection, Instagram ,USA,sending affectionate vibe friend family,Positive,2
 Awe-struck by the beauty of the night sky.               ,Awe, Facebook , Australia ,awestruck beauty night sky,Positive,2
 Disappointed with the lack of progress in a personal project. ,Disappointed, Twitter  , India      ,disappointed lack progress personal project,Negative,0
 A surprise visit from an old friend brought tears of joy. ,Surprise, Instagram , USA          ,surprise visit old friend brought tear joy,Positive,2
 Embracing acceptance of life's ups and downs.           ,Acceptance, Facebook , Canada     ,embracing acceptance life ups down,Neutral,1
 Overflowing adoration for a cute rescue puppy! 🐶       ,Adoration, Twitter  , UK         ,overflowing adoration cute rescue puppy,Neutral,1
 Anticipating the release of a much-awaited movie.       ,Anticipation, Instagram , Australia    ,anticipating release muchawaited movie,Positive,2
 Bitter experience at the customer service department.   ,Bitter, Facebook , USA       ,bitter experience customer service department,Neutral,1
 Finding calmness amidst the chaos of daily life.        ,Calmness, Twitter  , India     ,finding calmness amidst chaos daily life,Positive,2
 Confusion reigns as I try to make sense of recent events.,Confusion, Instagram , UK   ,confusion reign try make sense recent event,Neutral,1
 Excitement building up for a surprise birthday party.   ,Excitement, Facebook , Canada ,excitement building surprise birthday party,Positive,2
 Witnessed an act of kindness that made my day.          ,Kind, Twitter  , USA       ,witnessed act kindness made day,Neutral,1
 Pride in completing a challenging fitness challenge.    ,Pride, Instagram , UK            ,pride completing challenging fitness challenge,Positive,2
 A moment of shame for not speaking up against injustice.,Shame, Facebook , India     ,moment shame speaking injustice,Neutral,1
 Reflecting on the beauty of diversity in our world.     ,Acceptance, Twitter  , Australia ,reflecting beauty diversity world,Neutral,1
 Excitement for a quiet evening with a good book.        ,Excitement, Instagram , USA          ,excitement quiet evening good book,Positive,2
 Feeling bitter about the unfairness in the workplace.   ,Bitter, Twitter  , Canada    ,feeling bitter unfairness workplace,Neutral,1
 Calmness prevails as I practice mindfulness.            ,Calmness, Facebook , UK        ,calmness prevails practice mindfulness,Positive,2
 Confusion surrounds me as I navigate through life's choices. ,Confusion, Instagram , USA   ,confusion surround navigate life choice,Neutral,1
 Excitement for a weekend road trip to explore new places. ,Excitement, Twitter  , India     ,excitement weekend road trip explore new place,Positive,2
 Kindness witnessed today restores my faith in humanity.  ,Kind, Facebook , USA       ,kindness witnessed today restores faith humanity,Neutral,1
 Pride in accomplishing personal and professional goals.  ,Pride, Instagram , Canada ,pride accomplishing personal professional goal,Positive,2
 Shame for not being true to my values in a difficult situation.,Shame, Twitter  , UK        ,shame true value difficult situation,Neutral,1
" Revisiting old memories, feeling a sense of elation. ",Elation, Twitter  , Canada    ,revisiting old memory feeling sense elation,Positive,2
 The victory of our team brought euphoria to the city. ,Euphoria, Instagram , USA      ,victory team brought euphoria city,Positive,2
" Embracing the beauty of nature, a moment of contentment. ",Contentment, Facebook , India       ,embracing beauty nature moment contentment,Positive,2
" Meditating by the serene lake, finding inner peace.   ",Serenity, Twitter  , UK          ,meditating serene lake finding inner peace,Positive,2
 Overflowing with gratitude for life's blessings.      ,Gratitude, Instagram , Australia   ,overflowing gratitude life blessing,Positive,2
" Hopeful for a brighter tomorrow, despite challenges.  ",Hope, Facebook , USA      ,hopeful brighter tomorrow despite challenge,Positive,2
 Empowered to make a difference in my community.        ,Empowerment, Twitter  , UK       ,empowered make difference community,Positive,2
 Compassion in action: supporting a local charity event. ,Compassion, Instagram , Canada ,compassion action supporting local charity event,Neutral,1
" A moment of tenderness, connecting with loved ones.    ",Tenderness, Facebook , UK          ,moment tenderness connecting loved one,Neutral,1
 Arousal of excitement as I await a special announcement.,Arousal, Twitter  , Australia ,arousal excitement await special announcement,Neutral,1
 Enthusiastically diving into a new project.            ,Enthusiasm, Instagram , USA  ,enthusiastically diving new project,Positive,2
 Feeling a sense of fulfillment after reaching a milestone.,Fulfillment, Facebook , India     ,feeling sense fulfillment reaching milestone,Positive,2
 Reverence for the beauty of a historic landmark.       ,Reverence, Twitter  , UK      ,reverence beauty historic landmark,Neutral,1
 Elation after a surprise reunion with old friends.    ,Elation, Instagram , Canada      ,elation surprise reunion old friend,Positive,2
 The euphoria of a live music concert under the stars.  ,Euphoria, Facebook , USA ,euphoria live music concert star,Positive,2
 Contentment in the simplicity of a quiet Sunday.       ,Contentment, Twitter  , Australia ,contentment simplicity quiet sunday,Positive,2
 Serenity found in the pages of a favorite book.        ,Serenity, Instagram , UK          ,serenity found page favorite book,Positive,2
 Gratitude for the support received during tough times. ,Gratitude, Facebook , India     ,gratitude support received tough time,Positive,2
 Hopeful about the possibilities of a new journey.      ,Hope, Twitter  , Canada    ,hopeful possibility new journey,Positive,2
 Empowerment through learning and personal growth.      ,Empowerment, Instagram ,USA,empowerment learning personal growth,Positive,2
 Compassion towards those in need during the holidays.  ,Compassion, Facebook , USA      ,compassion towards need holiday,Neutral,1
 Tenderness in the warmth of a cozy winter evening.     ,Tenderness, Twitter  , UK       ,tenderness warmth cozy winter evening,Neutral,1
 Arousal of excitement for an upcoming adventure.       ,Arousal, Instagram , Australia ,arousal excitement upcoming adventure,Neutral,1
 Enthusiasm for a creative project in the making.       ,Enthusiasm, Facebook , Canada    ,enthusiasm creative project making,Positive,2
 Fulfillment in completing a challenging workout routine.,Fulfillment, Twitter  , India     ,fulfillment completing challenging workout routine,Positive,2
 Reverence for the artistry displayed in a museum.      ,Reverence, Instagram , UK        ,reverence artistry displayed museum,Neutral,1
 Elation after achieving a personal goal.               ,Elation, Facebook , USA      ,elation achieving personal goal,Positive,2
 Elation over discovering a hidden gem in the city.   ,Elation, Twitter  , USA      ,elation discovering hidden gem city,Positive,2
 The euphoria of a surprise birthday celebration.     ,Euphoria, Instagram , UK   ,euphoria surprise birthday celebration,Positive,2
 Contentment in the simplicity of a home-cooked meal. ,Contentment, Facebook , India    ,contentment simplicity homecooked meal,Positive,2
 Serenity found in the melody of a peaceful piano.    ,Serenity, Twitter  , Canada      ,serenity found melody peaceful piano,Positive,2
 Gratitude for the supportive community around me.    ,Gratitude, Instagram , USA ,gratitude supportive community around,Positive,2
 Hopeful about the prospects of a new business venture.,Hope, Facebook , Canada    ,hopeful prospect new business venture,Positive,2
 Empowerment through mentoring and guiding others.    ,Empowerment, Twitter  , UK       ,empowerment mentoring guiding others,Positive,2
 Compassion shown through acts of kindness in the community.,Compassion, Instagram , Australia ,compassion shown act kindness community,Neutral,1
 Tenderness in a heartfelt message to a loved one.    ,Tenderness, Facebook , UK          ,tenderness heartfelt message loved one,Neutral,1
 Arousal of excitement before a much-awaited trip.    ,Arousal, Twitter  , India    ,arousal excitement muchawaited trip,Neutral,1
 Enthusiasm for a new artistic project in the works.  ,Enthusiasm, Instagram , USA       ,enthusiasm new artistic project work,Positive,2
 Feeling a sense of fulfillment after helping others. ,Fulfillment, Facebook , Canada    ,feeling sense fulfillment helping others,Positive,2
 Reverence for the historical significance of a landmark.,Reverence, Twitter  , Australia ,reverence historical significance landmark,Neutral,1
 Elation after achieving a fitness milestone.         ,Elation, Instagram , UK           ,elation achieving fitness milestone,Positive,2
 The euphoria of a successful product launch.         ,Euphoria, Facebook , USA       ,euphoria successful product launch,Positive,2
 Contentment in the embrace of a loved one.           ,Contentment, Twitter  , India    ,contentment embrace loved one,Positive,2
 Serenity found in the beauty of a sunset by the sea.  ,Serenity, Instagram , Canada     ,serenity found beauty sunset sea,Positive,2
 Gratitude for the small joys that each day brings.   ,Gratitude, Facebook , Australia   ,gratitude small joy day brings,Positive,2
 Hopeful about the potential for personal growth.      ,Hope, Twitter  , UK       ,hopeful potential personal growth,Positive,2
 Empowerment through learning a new skill.            ,Empowerment, Instagram , India   ,empowerment learning new skill,Positive,2
 Compassion in volunteering for a local charity.       ,Compassion, Facebook , USA      ,compassion volunteering local charity,Neutral,1
 Tenderness in a quiet moment shared with a pet.      ,Tenderness, Twitter  , Canada   ,tenderness quiet moment shared pet,Neutral,1
 Arousal of excitement for an upcoming festival.       ,Arousal, Instagram , UK ,arousal excitement upcoming festival,Neutral,1
 Enthusiasm for a DIY home improvement project.       ,Enthusiasm, Facebook , Australia   ,enthusiasm diy home improvement project,Positive,2
 Fulfillment in completing a challenging puzzle.      ,Fulfillment, Twitter  , India    ,fulfillment completing challenging puzzle,Positive,2
 Reverence for the wonders of nature on a hiking trail.,Reverence, Instagram , USA        ,reverence wonder nature hiking trail,Neutral,1
 Elation after a surprise reunion with a childhood friend.,Elation, Facebook , Canada      ,elation surprise reunion childhood friend,Positive,2
 Suffering from despair after another setback.      ,Despair, Twitter  , USA          ,suffering despair another setback,Negative,0
" Overwhelmed by grief, missing a loved one dearly.  ",Grief, Instagram , Canada          ,overwhelmed grief missing loved one dearly,Negative,0
 Loneliness creeps in as the night grows colder.    ,Loneliness, Facebook , UK           ,loneliness creep night grows colder,Negative,0
 Jealousy consumes me as I witness others' success. ,Jealousy, Twitter  , India        ,jealousy consumes witness others success,Negative,0
 Resentment building up over past betrayals.        ,Resentment, Instagram , Australia     ,resentment building past betrayal,Negative,0
 Frustration mounts as obstacles block my path.     ,Frustration, Facebook , USA          ,frustration mount obstacle block path,Negative,0
" Boredom sets in, the day feels endlessly dull.     ",Boredom, Twitter  , Canada        ,boredom set day feel endlessly dull,Negative,0
" Anxiety grips my heart, worry clouds my thoughts.  ",Anxiety, Instagram , UK           ,anxiety grip heart worry cloud thought,Negative,0
 Intimidation by the unknown future ahead.          ,Intimidation, Facebook , India        ,intimidation unknown future ahead,Negative,0
 Helplessness sinks in as challenges pile up.       ,Helplessness, Twitter  , Australia    ,helplessness sink challenge pile,Negative,0
 Envy eats away at me as I see others' prosperity.  ,Envy, Instagram , Canada        ,envy eats away see others prosperity,Negative,0
 Regret over missed opportunities haunts my thoughts.,Regret, Facebook , UK           ,regret missed opportunity haunt thought,Negative,0
 Disgust at the sight of injustice and cruelty.     ,Disgust, Twitter  , India        ,disgust sight injustice cruelty,Negative,0
" Drowning in despair, hope slipping through my fingers.",Despair, Instagram , USA          ,drowning despair hope slipping finger,Negative,0
" Grief weighs heavy, tears a constant companion.    ",Grief, Facebook , Canada        ,grief weighs heavy tear constant companion,Negative,0
" Loneliness in a crowded room, a silent cry for connection.",Loneliness, Twitter  , UK            ,loneliness crowded room silent cry connection,Negative,0
" Jealousy gnaws at my confidence, a toxic emotion.  ",Jealousy, Instagram , India         ,jealousy gnaws confidence toxic emotion,Negative,0
" Resentment festers, poisoning relationships.       ",Resentment, Facebook , Australia    ,resentment fester poisoning relationship,Negative,0
" Frustration boils over, a volcanic eruption of emotions.",Frustration, Twitter  , USA          ,frustration boil volcanic eruption emotion,Negative,0
" Boredom settles like dust, life feels mundane.     ",Boredom, Instagram , Canada        ,boredom settle like dust life feel mundane,Negative,0
" Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety, Facebook , UK            ,anxiety grip chest relentless grip thought,Negative,0
" Intimidation by the challenges ahead, fear takes hold.",Intimidation, Twitter  , India         ,intimidation challenge ahead fear take hold,Negative,0
" Helplessness engulfs me, drowning in a sea of problems.",Helplessness, Instagram , Australia    ,helplessness engulfs drowning sea problem,Negative,0
" Envy poisons my thoughts, coveting others' success.",Envy, Facebook , Canada        ,envy poison thought coveting others success,Negative,0
 Regret for decisions that led to a painful present.,Regret, Twitter  , USA          ,regret decision led painful present,Negative,0
 Disgust at the corruption that stains society.     ,Disgust, Instagram , UK            ,disgust corruption stain society,Negative,0
" Sinking in despair, each day darker than the last. ",Despair, Facebook , India         ,sinking despair day darker last,Negative,0
" Grief overwhelms, a storm of emotions within.      ",Grief, Twitter  , Canada        ,grief overwhelms storm emotion within,Negative,0
" Loneliness echoes in empty spaces, yearning for connection.",Loneliness, Instagram , Australia     ,loneliness echo empty space yearning connection,Negative,0
" Jealousy poisons my thoughts, resentment brewing within.",Jealousy, Facebook , USA           ,jealousy poison thought resentment brewing within,Negative,0
" Resentment festers, a wound that refuses to heal.  ",Resentment, Twitter  , India         ,resentment fester wound refuse heal,Negative,0
" Frustration escalates, a thunderstorm of emotions. ",Frustration, Instagram , UK            ,frustration escalates thunderstorm emotion,Negative,0
" Boredom lingers, a stagnant pool of indifference.  ",Boredom, Facebook , Canada        ,boredom lingers stagnant pool indifference,Negative,0
" Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",Curiosity, Twitter  , USA          ,embarking journey discovery fueled curiosity thirst knowledge,Neutral,1
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Indifference, Instagram , Canada          ,lost vast sea information indifferent wave digital ocean,Neutral,1
" The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",Confusion, Facebook , UK           ,complex puzzle life leaf state perpetual confusion seeking answer chaos,Neutral,1
" A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",Numbness, Twitter  , India        ,numbness settle shield overwhelming emotion life throw way,Negative,0
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Melancholy, Instagram , Australia     ,gazing sunset melancholic longing moment slip finger time,Negative,0
" Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",Nostalgia, Facebook , USA          ,revisiting old photograph caught embrace nostalgia bittersweet symphony,Neutral,1
" Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",Ambivalence, Twitter  , Canada        ,torn conflicting emotion ambivalence paint decision shade uncertainty,Neutral,1
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Acceptance, Instagram , UK           ,embracing ebb flow life finding acceptance dance existence,Neutral,1
" Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",Determination, Facebook , India        ,facing challenge headon determination fuel fire within achieve impossible,Neutral,1
" Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",Serenity, Twitter  , Australia    ,serenity found stillness nature tranquil retreat chaos modern world,Positive,2
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",Curiosity, Instagram , USA          ,curiosity leading rabbit hole knowledge perpetual student life classroom,Neutral,1
" Floating through the day with an air of indifference, detached from the mundane happenings around. ",Indifference, Facebook , Canada        ,floating day air indifference detached mundane happening around,Neutral,1
" Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",Confusion, Twitter  , UK            ,entangled web thought confusion reigning navigate labyrinth idea,Neutral,1
" Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Numbness, Instagram , Australia     ,numb chaos emotion locked away stoic facade concealing inner turmoil,Negative,0
" Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",Melancholy, Facebook , India         ,melancholy whisper breeze silent conversation echo forgotten dream,Negative,0
" Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",Nostalgia, Twitter  , Canada        ,stumbling upon old journal nostalgia flooding wave carrying moment long gone,Neutral,1
" A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",Ambivalence, Instagram , UK            ,tapestry conflicting feeling weaving uncertainty caught thread ambivalence,Neutral,1
" Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",Acceptance, Facebook , Australia    ,embracing flaw finding acceptance imperfection journey towards selflove,Neutral,1
" Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",Determination, Twitter  , USA          ,determination burning like wildfire overcoming obstacle turning dream reality,Neutral,1
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",Serenity, Instagram , Canada        ,tranquil moment ocean serenity washing peaceful retreat within wave embrace,Positive,2
" Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",Curiosity, Facebook , India         ,exploring new horizon spark curiosity adventurer vast landscape knowledge,Neutral,1
" Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",Indifference, Twitter  , UK            ,drifting day nonchalant demeanor embracing art indifference,Neutral,1
" Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",Confusion, Instagram , Australia    ,wrestling thought perplexed mind lost labyrinth life complexity,Neutral,1
" Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",Numbness, Facebook , USA          ,immersed state emotional numbness shield storm daily struggle,Negative,0
" A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",Melancholy, Twitter  , Canada        ,melancholic symphony playing background soundtrack wistful heart,Negative,0
" Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",Nostalgia, Instagram , India         ,flipping page old yearbook nostalgia painting smile tear face,Neutral,1
" Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",Ambivalence, Facebook , Australia    ,torn opposing emotion ambivalence color decision shade uncertainty,Neutral,1
" Embracing life's imperfections, finding acceptance in the journey, scars and all. ",Acceptance, Twitter  , Canada        ,embracing life imperfection finding acceptance journey scar,Neutral,1
" A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",Determination, Instagram , UK            ,fiery determination burning within fueled vision reaching unparalleled height,Neutral,1
" Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",Serenity, Facebook , USA          ,basking serenity quiet forest whisper nature bring peace soul,Positive,2
" Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",Indifference, Instagram , India         ,indifferent noise world silent observer midst life cacophony,Neutral,1
" Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",Confusion, Facebook , Australia    ,navigating labyrinth thought confusion constant companion maze idea,Neutral,1
" An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",Numbness, Twitter  , UK            ,impenetrable numbness shield emotional storm fortress stoic resilience,Negative,0
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",Melancholy, Instagram , USA          ,melancholy painting world hue nostalgia canvas bittersweet memory,Negative,0
" A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",Nostalgia, Facebook , Canada        ,journey past flipping page old diary nostalgia taking lead,Neutral,1
" Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",Ambivalence, Twitter  , India         ,ambivalence clouding decision caught crossroad conflicting emotion,Neutral,1
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",Acceptance, Instagram , Australia     ,embracing imperfection finding acceptance mosaic life beautiful chaos,Neutral,1
" Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",Determination, Facebook , USA          ,determination driving force propelling forward path extraordinary achievement,Neutral,1
" Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",Serenity, Twitter  , Canada        ,seeking serenity melody raindrop tranquil escape noise everyday life,Positive,2
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",Curiosity, Instagram , UK            ,curiosity driving exploration unknown seeker knowledge uncharted territory,Neutral,1
" Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",Indifference, Facebook , India         ,drifting day air nonchalance indifferent triviality life,Neutral,1
